,NT = 1 and F = 1,NT = 1 and F = 3,NT = 1 and F = 4,NT = 1 and F = 5,NT = 10 and F = 1,NT = 10 and F = 3,NT = 10 and F = 4,NT = 10 and F = 5,NT = 25 and F = 1,NT = 25 and F = 3,NT = 25 and F = 4,NT = 25 and F = 5,NT = 50 and F = 1,NT = 50 and F = 3,NT = 50 and F = 4,NT = 50 and F = 5,NT = 75 and F = 1,NT = 75 and F = 3,NT = 75 and F = 4,NT = 75 and F = 5,NT = 100 and F = 1,NT = 100 and F = 3,NT = 100 and F = 4,NT = 100 and F = 5
Attribute_0,0.047619047619047616,0.0,0.0,0.0,0.05263157894736842,0.058823529411764705,0.03954802259887006,0.022727272727272728,0.052432687765706185,0.05741626794258373,0.06338028169014084,0.03474903474903475,0.053927315357561546,0.04227782571182054,0.03840472673559823,0.04428904428904429,0.05220949263502455,0.053257790368271954,0.05169172932330827,0.03398058252427184,0.04833911750123947,0.04523996852871755,0.04865220249835635,0.036923076923076927
Attribute_1,0.06666666666666667,0.14285714285714285,0.0,0.2,0.05921052631578947,0.11764705882352941,0.096045197740113,0.13636363636363635,0.048181388757675955,0.0861244019138756,0.10915492957746478,0.0888030888030888,0.0548651817116061,0.08369283865401209,0.09748892171344166,0.08857808857808858,0.05695581014729951,0.07592067988668555,0.09962406015037593,0.08576051779935275,0.04920674268715915,0.08811959087332809,0.10453648915187377,0.09846153846153846
Attribute_2,0.06666666666666667,0.2857142857142857,0.5,0.4,0.05043859649122807,0.16993464052287582,0.24858757062146894,0.25,0.051960321209258385,0.15311004784688995,0.19718309859154928,0.25096525096525096,0.04806565064478312,0.15012942191544434,0.20974889217134415,0.2564102564102564,0.04991816693944354,0.1501416430594901,0.19642857142857142,0.2588996763754045,0.05428854734754586,0.15224232887490166,0.20710059171597633,0.22666666666666666
Attribute_3,0.047619047619047616,0.0,0.0,0.0,0.05701754385964912,0.0196078431372549,0.02824858757062147,0.022727272727272728,0.05668398677373642,0.025518341307814992,0.02112676056338028,0.04247104247104247,0.05205158264947245,0.024158757549611734,0.022156573116691284,0.023310023310023312,0.05253682487725041,0.024929178470254956,0.018796992481203006,0.022653721682847898,0.05118988596926128,0.024390243902439025,0.0190664036817883,0.019487179487179488
Attribute_4,0.047619047619047616,0.0,0.0,0.0,0.051535087719298246,0.0196078431372549,0.04519774011299435,0.022727272727272728,0.047709022201228156,0.04784688995215311,0.035211267605633804,0.02702702702702703,0.049941383352872216,0.05263157894736842,0.03249630723781388,0.046620046620046623,0.05286415711947627,0.038526912181303115,0.047932330827067667,0.03559870550161812,0.050322260783341594,0.045633359559402044,0.030243261012491782,0.038974358974358976
Attribute_5,0.0380952380952381,0.0,0.0,0.0,0.05263157894736842,0.0457516339869281,0.011299435028248588,0.03409090909090909,0.05526688710439301,0.03987240829346093,0.035211267605633804,0.023166023166023165,0.053927315357561546,0.04314063848144953,0.03988183161004431,0.02097902097902098,0.05073649754500818,0.037393767705382434,0.03477443609022556,0.02912621359223301,0.05143777887952405,0.042486231313926044,0.03616042077580539,0.02666666666666667
Attribute_6,0.01904761904761905,0.0,0.0,0.0,0.043859649122807015,0.026143790849673203,0.011299435028248588,0.0,0.052432687765706185,0.04146730462519936,0.02112676056338028,0.02702702702702703,0.06213364595545135,0.03710094909404659,0.023633677991137372,0.018648018648018648,0.058265139116202944,0.038526912181303115,0.021616541353383457,0.019417475728155338,0.051685671789786815,0.029504327301337528,0.023011176857330704,0.02564102564102564
Attribute_7,0.02857142857142857,0.0,0.0,0.0,0.05043859649122807,0.0457516339869281,0.03954802259887006,0.0,0.051960321209258385,0.03987240829346093,0.045774647887323945,0.03861003861003861,0.05369284876905041,0.04659188955996549,0.026587887740029542,0.04428904428904429,0.05613747954173486,0.0453257790368272,0.03759398496240601,0.022653721682847898,0.05428854734754586,0.040912667191188044,0.036817882971729124,0.04
Attribute_8,0.05714285714285714,0.0,0.0,0.0,0.05263157894736842,0.0392156862745098,0.02824858757062147,0.022727272727272728,0.04912612187057156,0.03668261562998405,0.03873239436619718,0.02702702702702703,0.05697538100820633,0.03364969801553063,0.03692762186115214,0.02564102564102564,0.05499181669394435,0.0339943342776204,0.03477443609022556,0.014563106796116505,0.052553296975706494,0.03894571203776554,0.03287310979618672,0.027692307692307693
Attribute_9,0.09523809523809523,0.0,0.0,0.0,0.05043859649122807,0.05228758169934641,0.062146892655367235,0.07954545454545454,0.05951818611242324,0.051036682615629984,0.04225352112676056,0.05019305019305019,0.049941383352872216,0.058671268334771355,0.07533234859675036,0.05128205128205128,0.046644844517184945,0.06175637393767705,0.05827067669172932,0.05177993527508091,0.05738720872583044,0.05192761605035405,0.045364891518737675,0.046153846153846156
Attribute_10,0.0380952380952381,0.0,0.0,0.2,0.05701754385964912,0.032679738562091505,0.05649717514124294,0.056818181818181816,0.04676428908833254,0.06698564593301436,0.07394366197183098,0.06563706563706563,0.04876905041031653,0.04659188955996549,0.0620384047267356,0.06060606060606061,0.054664484451718495,0.052691218130311614,0.06109022556390977,0.07281553398058252,0.05366881507188894,0.053107789142407553,0.055226824457593686,0.07384615384615385
Attribute_11,0.05714285714285714,0.14285714285714285,0.0,0.0,0.046052631578947366,0.058823529411764705,0.02824858757062147,0.011363636363636364,0.04487482286254133,0.028708133971291867,0.03169014084507042,0.05405405405405406,0.05369284876905041,0.04659188955996549,0.051698670605613,0.03263403263403263,0.05450081833060556,0.039660056657223795,0.042293233082706765,0.045307443365695796,0.05218145761031234,0.044059795436664044,0.03879026955950033,0.04205128205128205
Attribute_12,0.06666666666666667,0.14285714285714285,0.0,0.0,0.05701754385964912,0.058823529411764705,0.03954802259887006,0.06818181818181818,0.043930089749645726,0.03189792663476874,0.02464788732394366,0.02702702702702703,0.04407971864009379,0.03968938740293356,0.03249630723781388,0.03496503496503497,0.047135842880523734,0.04815864022662889,0.039473684210526314,0.0372168284789644,0.055156172533465546,0.04602675059008655,0.03879026955950033,0.03794871794871795
Attribute_13,0.0380952380952381,0.0,0.0,0.0,0.0581140350877193,0.013071895424836602,0.03389830508474576,0.022727272727272728,0.06282475200755787,0.05582137161084529,0.045774647887323945,0.02702702702702703,0.052989449003517,0.057808455565142365,0.0310192023633678,0.027972027972027972,0.05237315875613748,0.04645892351274788,0.03101503759398496,0.0372168284789644,0.056023797719385225,0.044059795436664044,0.04076265614727153,0.03794871794871795
Attribute_14,0.06666666666666667,0.14285714285714285,0.0,0.0,0.04824561403508772,0.0392156862745098,0.05084745762711865,0.011363636363636364,0.05857345299952763,0.04146730462519936,0.02464788732394366,0.015444015444015444,0.055803048065650646,0.04314063848144953,0.028064992614475627,0.027972027972027972,0.054173486088379706,0.03342776203966006,0.02913533834586466,0.02750809061488673,0.05490827962320278,0.03619197482297404,0.023011176857330704,0.033846153846153845
Attribute_15,0.09523809523809523,0.0,0.5,0.0,0.05263157894736842,0.0457516339869281,0.02824858757062147,0.07954545454545454,0.05101558809636278,0.05741626794258373,0.05985915492957746,0.0694980694980695,0.05322391559202814,0.05004314063848145,0.047267355982274745,0.053613053613053616,0.05106382978723404,0.058923512747875356,0.04887218045112782,0.045307443365695796,0.050322260783341594,0.05704169944925256,0.06443129520052597,0.048205128205128206
Attribute_16,0.05714285714285714,0.0,0.0,0.0,0.05592105263157895,0.0392156862745098,0.01694915254237288,0.011363636363636364,0.06046291922531885,0.03508771929824561,0.02112676056338028,0.015444015444015444,0.052286049237983585,0.0362381363244176,0.025110782865583457,0.02097902097902098,0.05286415711947627,0.031161473087818695,0.020676691729323307,0.032362459546925564,0.05218145761031234,0.031864673485444535,0.024326101249178174,0.019487179487179488
Attribute_17,0.047619047619047616,0.14285714285714285,0.0,0.0,0.046052631578947366,0.0457516339869281,0.03389830508474576,0.03409090909090909,0.05526688710439301,0.03349282296650718,0.03169014084507042,0.03474903474903475,0.04970691676436108,0.04486626402070751,0.04283604135893648,0.046620046620046623,0.05368248772504092,0.04872521246458923,0.041353383458646614,0.032362459546925564,0.05156172533465543,0.05704169944925256,0.05062458908612755,0.03282051282051282
Attribute_18,0.01904761904761905,0.0,0.0,0.2,0.0581140350877193,0.0718954248366013,0.1016949152542373,0.11363636363636363,0.05101558809636278,0.07017543859649122,0.07746478873239436,0.08108108108108109,0.053927315357561546,0.06298533218291631,0.07680945347119646,0.07459207459207459,0.04828150572831424,0.08101983002832862,0.08458646616541353,0.09546925566343042,0.0532969757064948,0.07120377655389457,0.08021038790269559,0.08717948717948718
