Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Class,Predicted_Class
med,high,3,4,med,low,unacc,unacc
vhigh,low,2,4,big,med,acc,unacc
high,vhigh,3,more,med,med,unacc,unacc
med,low,2,4,small,med,acc,unacc
med,low,4,2,small,low,unacc,unacc
med,high,5more,more,small,low,unacc,unacc
low,vhigh,4,more,big,low,unacc,unacc
high,low,5more,2,big,high,unacc,unacc
high,med,5more,4,small,low,unacc,unacc
vhigh,low,2,2,small,low,unacc,unacc
high,high,4,more,med,high,acc,acc
med,med,2,4,big,low,unacc,unacc
vhigh,vhigh,4,2,big,high,unacc,unacc
vhigh,high,5more,more,small,med,unacc,unacc
low,med,2,2,small,low,unacc,unacc
high,vhigh,4,2,big,med,unacc,unacc
vhigh,med,2,4,small,low,unacc,unacc
med,low,3,more,med,high,vgood,good
vhigh,high,4,more,small,med,unacc,unacc
low,low,5more,4,small,low,unacc,unacc
high,high,2,4,small,high,acc,unacc
high,vhigh,5more,2,big,low,unacc,unacc
med,med,3,4,med,low,unacc,unacc
low,high,4,4,med,med,acc,acc
high,high,4,more,med,low,unacc,unacc
med,med,3,4,big,high,vgood,acc
high,high,3,2,med,med,unacc,unacc
high,med,4,4,big,high,acc,acc
low,vhigh,3,more,small,low,unacc,unacc
low,med,5more,2,med,high,unacc,unacc
vhigh,vhigh,3,more,small,med,unacc,unacc
vhigh,med,2,4,small,high,acc,unacc
vhigh,med,4,more,med,high,acc,acc
vhigh,low,4,more,small,high,acc,acc
med,med,5more,4,med,low,unacc,unacc
med,low,3,4,small,med,acc,acc
low,med,4,4,small,med,acc,good
low,med,5more,2,med,low,unacc,unacc
high,vhigh,3,2,big,med,unacc,unacc
high,low,5more,2,big,low,unacc,unacc
vhigh,med,2,2,big,low,unacc,unacc
low,med,4,4,big,med,good,vgood
vhigh,high,2,more,small,high,unacc,unacc
vhigh,med,4,2,big,high,unacc,unacc
med,high,2,more,big,high,acc,acc
vhigh,vhigh,2,more,med,low,unacc,unacc
med,high,2,2,big,high,unacc,unacc
low,med,4,more,med,low,unacc,unacc
high,low,5more,2,med,med,unacc,unacc
low,vhigh,3,2,big,med,unacc,unacc
high,low,2,2,med,high,unacc,unacc
low,low,3,more,small,high,good,vgood
vhigh,vhigh,3,more,med,high,unacc,unacc
med,vhigh,4,more,small,med,unacc,unacc
med,med,2,4,big,high,vgood,acc
high,high,5more,4,med,med,acc,acc
low,med,3,more,med,low,unacc,unacc
med,high,3,2,big,med,unacc,unacc
low,vhigh,5more,more,big,med,acc,unacc
high,low,2,2,small,high,unacc,unacc
low,vhigh,4,more,small,high,acc,acc
vhigh,vhigh,5more,more,big,low,unacc,unacc
med,low,4,2,big,med,unacc,unacc
vhigh,vhigh,2,more,big,high,unacc,unacc
med,vhigh,2,4,med,med,unacc,unacc
med,high,3,more,small,high,acc,acc
med,low,5more,2,med,med,unacc,unacc
high,low,5more,more,med,high,acc,acc
high,high,3,4,small,low,unacc,unacc
high,vhigh,2,2,med,high,unacc,unacc
med,high,2,4,big,low,unacc,unacc
low,high,2,more,small,high,unacc,unacc
vhigh,vhigh,2,more,small,high,unacc,unacc
high,low,3,4,small,high,acc,acc
low,med,3,4,med,high,good,good
low,low,3,more,med,med,good,unacc
low,high,3,2,small,med,unacc,unacc
low,vhigh,5more,2,med,med,unacc,unacc
high,high,3,2,small,high,unacc,unacc
low,vhigh,4,4,big,med,acc,acc
low,vhigh,4,2,big,med,unacc,unacc
med,vhigh,2,4,small,med,unacc,unacc
vhigh,vhigh,5more,more,small,high,unacc,unacc
low,low,2,4,small,low,unacc,unacc
low,high,4,2,med,low,unacc,unacc
low,low,2,2,big,med,unacc,unacc
high,med,4,4,small,med,unacc,unacc
high,med,3,more,med,high,acc,acc
high,low,5more,4,big,high,acc,acc
med,vhigh,5more,more,small,med,unacc,unacc
high,med,3,2,big,low,unacc,unacc
high,high,4,4,small,high,acc,acc
high,vhigh,2,4,small,med,unacc,unacc
vhigh,high,4,4,big,high,unacc,unacc
low,med,4,more,big,low,unacc,unacc
low,med,5more,more,big,high,vgood,vgood
high,high,3,2,big,med,unacc,unacc
low,vhigh,2,more,small,med,unacc,unacc
low,med,3,more,big,med,good,vgood
high,med,4,2,big,high,unacc,unacc
low,high,2,4,small,med,acc,unacc
vhigh,med,4,4,small,med,unacc,unacc
med,med,2,2,small,high,unacc,unacc
high,high,3,more,big,high,acc,acc
low,low,4,more,small,high,good,acc
high,low,5more,more,big,med,acc,acc
vhigh,med,4,2,small,high,unacc,unacc
med,vhigh,4,more,small,high,acc,acc
vhigh,low,2,more,big,high,acc,unacc
low,vhigh,3,2,small,high,unacc,unacc
med,med,5more,4,med,med,acc,acc
low,med,4,more,big,high,vgood,good
med,vhigh,3,more,big,low,unacc,unacc
low,vhigh,5more,4,big,med,acc,acc
high,low,2,4,big,high,acc,acc
high,high,5more,2,small,high,unacc,unacc
vhigh,low,4,2,big,low,unacc,unacc
low,high,3,2,med,high,unacc,unacc
med,low,4,2,med,med,unacc,unacc
med,med,3,more,med,med,acc,acc
high,med,3,4,small,high,acc,unacc
low,vhigh,2,more,small,high,unacc,unacc
vhigh,vhigh,3,2,small,med,unacc,unacc
med,low,2,more,small,low,unacc,unacc
med,med,3,more,small,med,acc,acc
med,high,3,2,small,med,unacc,unacc
low,low,3,more,med,high,vgood,unacc
med,low,4,more,small,med,acc,good
vhigh,high,4,4,small,high,unacc,unacc
vhigh,low,4,4,med,med,acc,acc
vhigh,high,5more,2,med,med,unacc,unacc
low,high,5more,more,big,high,vgood,vgood
med,low,5more,more,big,med,good,vgood
vhigh,vhigh,5more,4,med,low,unacc,unacc
vhigh,low,2,2,med,high,unacc,unacc
vhigh,low,5more,4,small,high,acc,acc
low,low,4,more,small,low,unacc,unacc
med,high,2,4,med,low,unacc,unacc
vhigh,high,3,2,big,high,unacc,unacc
med,vhigh,3,2,med,low,unacc,unacc
vhigh,med,5more,more,small,high,acc,unacc
low,med,2,more,med,med,acc,unacc
med,low,5more,more,med,low,unacc,unacc
high,high,5more,4,small,high,acc,acc
high,med,5more,4,med,low,unacc,unacc
med,vhigh,5more,4,med,med,acc,unacc
low,low,4,2,small,high,unacc,unacc
vhigh,med,4,more,big,high,acc,acc
med,low,3,4,big,med,good,acc
low,high,2,4,med,med,acc,acc
high,high,3,2,big,high,unacc,unacc
high,med,4,more,small,low,unacc,unacc
med,vhigh,5more,2,big,high,unacc,unacc
high,med,5more,2,small,low,unacc,unacc
med,med,4,4,small,low,unacc,unacc
med,high,5more,4,small,high,acc,acc
vhigh,high,2,4,small,med,unacc,unacc
high,med,4,4,big,med,acc,unacc
low,med,3,4,big,med,good,unacc
med,high,5more,more,big,low,unacc,unacc
low,low,3,2,med,high,unacc,unacc
low,med,5more,4,med,high,vgood,vgood
vhigh,high,5more,more,big,low,unacc,unacc
vhigh,med,5more,more,small,low,unacc,unacc
vhigh,low,3,more,small,high,acc,unacc
low,high,2,more,med,high,acc,vgood
high,high,4,2,med,low,unacc,unacc
med,med,4,2,big,low,unacc,unacc
med,vhigh,2,more,med,med,unacc,acc
vhigh,high,3,4,big,med,unacc,unacc
high,low,3,2,big,high,unacc,unacc
med,vhigh,3,2,med,high,unacc,unacc
vhigh,low,3,more,med,med,acc,unacc
med,vhigh,2,more,small,med,unacc,unacc
low,high,2,4,med,low,unacc,unacc
high,low,3,2,med,med,unacc,unacc
med,vhigh,3,2,small,high,unacc,unacc
med,high,5more,4,med,med,acc,acc
low,low,4,4,med,high,vgood,vgood
high,low,3,2,med,low,unacc,unacc
vhigh,low,4,2,small,med,unacc,unacc
vhigh,high,3,4,small,med,unacc,unacc
vhigh,vhigh,5more,more,med,low,unacc,unacc
med,high,4,2,med,med,unacc,unacc
vhigh,low,3,4,big,low,unacc,unacc
vhigh,high,3,4,small,low,unacc,unacc
low,low,3,2,big,low,unacc,unacc
high,vhigh,2,more,med,med,unacc,unacc
low,high,4,more,small,high,acc,unacc
high,med,2,2,med,high,unacc,unacc
vhigh,vhigh,5more,4,med,high,unacc,unacc
high,med,3,more,small,high,acc,unacc
vhigh,low,2,4,big,high,acc,unacc
high,med,4,more,small,med,unacc,unacc
high,vhigh,3,2,med,high,unacc,unacc
high,med,3,4,big,low,unacc,unacc
med,high,4,4,small,med,unacc,unacc
high,low,2,more,med,med,unacc,unacc
high,low,4,more,small,med,unacc,unacc
med,med,3,2,small,low,unacc,unacc
high,high,4,4,big,low,unacc,unacc
vhigh,high,5more,2,big,high,unacc,unacc
vhigh,low,5more,more,med,high,acc,acc
vhigh,low,2,4,big,low,unacc,unacc
low,low,3,2,small,med,unacc,unacc
med,med,5more,2,small,med,unacc,unacc
med,low,4,more,small,low,unacc,unacc
low,low,3,more,big,med,good,acc
high,low,3,2,med,high,unacc,unacc
med,low,2,2,med,high,unacc,unacc
low,vhigh,3,2,med,high,unacc,unacc
med,med,3,4,med,med,acc,acc
high,med,5more,4,small,med,unacc,unacc
low,med,4,more,small,high,good,good
high,vhigh,3,more,big,high,unacc,unacc
high,med,3,2,small,med,unacc,unacc
vhigh,high,2,2,big,high,unacc,unacc
med,high,5more,more,big,high,acc,acc
med,high,3,4,small,med,unacc,unacc
vhigh,vhigh,5more,more,med,high,unacc,unacc
high,med,3,4,big,med,acc,acc
vhigh,low,5more,4,small,low,unacc,unacc
high,vhigh,4,4,med,high,unacc,unacc
high,med,4,more,big,low,unacc,unacc
vhigh,med,3,2,small,low,unacc,unacc
med,low,5more,4,big,low,unacc,unacc
low,med,5more,2,med,med,unacc,unacc
low,vhigh,3,2,med,low,unacc,unacc
vhigh,low,2,2,small,high,unacc,unacc
med,low,2,2,med,low,unacc,unacc
low,vhigh,2,more,small,low,unacc,unacc
high,vhigh,3,2,small,low,unacc,unacc
low,high,5more,more,small,high,acc,vgood
med,high,5more,2,med,med,unacc,unacc
vhigh,med,2,4,med,med,unacc,unacc
med,vhigh,3,more,small,low,unacc,unacc
low,low,2,2,med,high,unacc,unacc
vhigh,med,5more,4,med,low,unacc,unacc
med,med,5more,4,big,high,vgood,acc
high,low,2,more,small,med,unacc,unacc
med,low,4,more,big,med,good,good
med,med,3,2,big,low,unacc,unacc
low,high,2,more,big,med,acc,acc
low,med,2,more,small,low,unacc,unacc
low,vhigh,3,4,small,high,acc,acc
med,med,3,more,med,high,vgood,unacc
high,low,2,more,med,high,acc,acc
low,low,2,4,big,low,unacc,unacc
med,med,2,2,med,med,unacc,unacc
vhigh,low,2,more,med,med,unacc,unacc
high,med,3,more,big,high,acc,acc
high,med,4,more,med,med,acc,unacc
med,vhigh,2,2,big,med,unacc,unacc
low,med,4,2,big,high,unacc,unacc
vhigh,vhigh,2,4,med,low,unacc,unacc
med,med,4,4,small,high,acc,acc
med,high,3,more,small,med,unacc,unacc
vhigh,low,3,4,small,high,acc,unacc
vhigh,high,2,2,small,med,unacc,unacc
med,vhigh,4,4,big,low,unacc,unacc
low,high,2,4,big,med,acc,acc
low,low,4,2,big,med,unacc,unacc
vhigh,low,4,4,med,low,unacc,unacc
vhigh,high,3,more,small,high,unacc,unacc
high,high,2,more,small,high,unacc,unacc
vhigh,high,5more,2,small,med,unacc,unacc
med,low,4,2,big,low,unacc,unacc
low,low,3,2,big,high,unacc,unacc
high,low,5more,4,med,high,acc,acc
high,low,2,more,small,high,unacc,unacc
vhigh,med,3,4,med,med,unacc,acc
high,vhigh,3,4,big,med,unacc,unacc
high,high,4,more,med,med,acc,
vhigh,vhigh,3,2,med,high,unacc,unacc
med,high,5more,4,med,high,acc,acc
med,vhigh,2,4,big,high,acc,acc
vhigh,low,5more,2,small,high,unacc,unacc
high,low,4,more,big,high,acc,acc
vhigh,high,3,more,med,high,unacc,unacc
med,med,2,4,big,med,acc,acc
high,low,4,4,big,med,acc,acc
high,vhigh,3,4,med,med,unacc,unacc
med,high,5more,2,small,low,unacc,unacc
vhigh,low,5more,2,med,low,unacc,unacc
vhigh,high,3,4,big,low,unacc,unacc
low,vhigh,4,more,med,low,unacc,unacc
high,low,4,4,med,low,unacc,unacc
vhigh,high,4,more,small,low,unacc,unacc
med,med,4,2,big,med,unacc,unacc
high,vhigh,3,4,small,low,unacc,unacc
med,vhigh,5more,more,small,high,acc,acc
med,vhigh,4,4,med,med,acc,unacc
vhigh,med,2,more,big,low,unacc,unacc
vhigh,vhigh,5more,4,small,low,unacc,unacc
vhigh,vhigh,2,4,med,med,unacc,unacc
med,vhigh,3,4,small,high,acc,acc
low,low,5more,more,small,high,good,vgood
med,vhigh,5more,2,small,high,unacc,unacc
med,vhigh,4,4,small,low,unacc,unacc
vhigh,high,4,4,med,low,unacc,unacc
high,low,3,2,big,med,unacc,unacc
med,vhigh,2,2,big,low,unacc,unacc
low,high,4,4,big,low,unacc,unacc
med,med,3,more,small,low,unacc,unacc
vhigh,low,3,more,big,low,unacc,unacc
low,med,3,more,big,low,unacc,unacc
vhigh,vhigh,4,more,small,high,unacc,unacc
med,vhigh,2,4,small,high,acc,unacc
low,vhigh,5more,4,small,high,acc,acc
med,high,5more,2,big,high,unacc,unacc
low,vhigh,4,2,big,high,unacc,unacc
med,vhigh,5more,2,med,low,unacc,unacc
high,vhigh,2,2,big,low,unacc,unacc
vhigh,med,4,4,big,low,unacc,unacc
high,vhigh,5more,4,small,med,unacc,unacc
high,med,3,2,small,low,unacc,unacc
med,vhigh,3,more,big,high,acc,acc
vhigh,vhigh,4,more,big,med,unacc,unacc
med,low,4,4,small,med,acc,good
vhigh,med,5more,4,med,high,acc,acc
low,high,3,more,med,med,acc,acc
med,high,5more,4,med,low,unacc,unacc
low,med,3,4,med,med,acc,acc
high,high,3,4,small,med,unacc,unacc
med,vhigh,5more,4,big,med,acc,unacc
low,med,4,more,med,high,vgood,good
vhigh,vhigh,2,2,big,med,unacc,unacc
vhigh,vhigh,3,4,small,med,unacc,unacc
low,low,2,2,big,high,unacc,unacc
high,high,3,more,med,med,acc,unacc
high,high,3,4,med,low,unacc,unacc
low,high,4,more,small,med,acc,acc
med,vhigh,4,more,big,low,unacc,unacc
vhigh,vhigh,4,4,med,high,unacc,unacc
low,med,2,4,small,high,good,acc
vhigh,high,4,2,med,med,unacc,unacc
high,low,2,2,small,low,unacc,unacc
vhigh,low,4,2,med,high,unacc,unacc
vhigh,med,4,2,med,med,unacc,unacc
med,low,3,2,small,med,unacc,unacc
low,low,2,2,big,low,unacc,unacc
med,low,3,2,big,high,unacc,unacc
med,low,5more,more,small,high,good,vgood
low,low,2,more,med,high,good,good
vhigh,low,5more,2,big,med,unacc,unacc
vhigh,vhigh,2,2,small,low,unacc,unacc
vhigh,vhigh,4,more,small,low,unacc,unacc
vhigh,vhigh,4,4,big,high,unacc,unacc
low,high,2,2,small,low,unacc,unacc
vhigh,low,2,more,small,high,unacc,unacc
high,vhigh,4,more,med,high,unacc,unacc
high,high,5more,more,med,high,acc,acc
low,low,5more,2,small,low,unacc,unacc
med,med,2,more,med,med,acc,acc
low,med,5more,more,med,med,good,good
med,med,3,more,big,high,vgood,acc
vhigh,high,3,more,small,med,unacc,unacc
vhigh,vhigh,5more,2,small,high,unacc,unacc
vhigh,high,4,2,small,low,unacc,unacc
vhigh,vhigh,2,2,med,low,unacc,unacc
vhigh,med,3,more,small,low,unacc,unacc
low,low,5more,2,med,high,unacc,unacc
med,low,2,4,big,low,unacc,unacc
med,low,5more,4,med,low,unacc,unacc
high,vhigh,3,2,small,high,unacc,unacc
low,high,3,4,med,med,acc,acc
high,med,2,more,big,low,unacc,unacc
vhigh,high,3,4,small,high,unacc,unacc
med,med,2,2,big,high,unacc,unacc
high,vhigh,4,2,med,high,unacc,unacc
low,med,2,2,med,med,unacc,unacc
vhigh,vhigh,2,2,big,low,unacc,unacc
high,med,4,2,big,med,unacc,unacc
low,med,3,4,big,high,vgood,unacc
high,low,2,4,big,low,unacc,unacc
low,med,3,more,small,low,unacc,unacc
med,med,3,4,big,low,unacc,unacc
med,vhigh,2,more,small,high,unacc,unacc
high,vhigh,5more,4,big,med,unacc,unacc
high,vhigh,2,more,small,high,unacc,unacc
med,low,3,more,med,low,unacc,unacc
low,low,5more,2,big,med,unacc,unacc
vhigh,low,5more,2,small,low,unacc,unacc
low,low,4,more,med,low,unacc,unacc
med,vhigh,3,more,med,high,acc,acc
high,vhigh,5more,2,small,low,unacc,unacc
low,vhigh,2,4,big,low,unacc,unacc
vhigh,high,4,2,small,high,unacc,unacc
high,vhigh,5more,more,small,med,unacc,unacc
low,high,4,2,small,low,unacc,unacc
low,med,4,2,small,high,unacc,unacc
high,low,2,4,med,med,unacc,unacc
med,low,2,4,big,high,vgood,good
med,vhigh,4,more,med,high,acc,acc
vhigh,low,3,4,small,med,unacc,unacc
low,high,4,more,med,med,acc,acc
low,med,5more,2,big,low,unacc,unacc
vhigh,high,3,2,small,low,unacc,unacc
high,high,3,4,big,high,acc,acc
med,vhigh,4,more,med,med,acc,acc
vhigh,low,4,more,med,med,acc,acc
vhigh,high,4,4,small,med,unacc,unacc
high,low,2,more,small,low,unacc,unacc
low,med,2,4,med,high,good,acc
high,high,2,more,med,low,unacc,unacc
vhigh,med,3,4,big,med,acc,acc
vhigh,med,3,2,small,med,unacc,unacc
low,high,5more,4,big,med,acc,acc
med,low,2,more,big,med,good,good
high,low,5more,more,big,low,unacc,unacc
low,low,5more,2,big,high,unacc,unacc
vhigh,high,2,4,med,low,unacc,unacc
high,low,4,more,small,high,acc,acc
high,high,5more,2,small,low,unacc,unacc
low,high,4,2,small,high,unacc,unacc
med,low,5more,2,small,high,unacc,unacc
low,med,2,4,big,med,good,unacc
high,low,4,2,small,high,unacc,unacc
med,high,3,2,med,med,unacc,unacc
high,med,5more,more,big,high,acc,acc
vhigh,med,3,4,small,med,unacc,unacc
vhigh,low,3,more,big,med,acc,acc
high,vhigh,5more,2,big,med,unacc,unacc
med,med,3,2,med,med,unacc,unacc
high,vhigh,3,4,big,high,unacc,unacc
vhigh,low,5more,2,small,med,unacc,unacc
low,med,4,2,med,low,unacc,unacc
med,low,4,4,big,high,vgood,vgood
low,high,2,more,big,high,vgood,unacc
med,med,4,4,med,low,unacc,unacc
low,med,2,more,big,med,good,unacc
med,med,5more,2,med,high,unacc,unacc
high,vhigh,4,4,small,med,unacc,unacc
med,med,5more,4,small,med,acc,acc
vhigh,high,5more,4,small,med,unacc,unacc
med,vhigh,3,more,small,med,unacc,unacc
low,vhigh,5more,4,big,low,unacc,unacc
vhigh,high,5more,4,big,high,unacc,unacc
low,high,5more,4,big,low,unacc,unacc
low,low,4,2,med,med,unacc,unacc
med,vhigh,4,2,big,high,unacc,unacc
vhigh,med,2,2,med,high,unacc,unacc
low,low,2,4,big,high,vgood,good
vhigh,high,2,4,big,high,unacc,unacc
vhigh,med,3,2,big,low,unacc,unacc
vhigh,high,4,2,med,high,unacc,unacc
low,high,3,2,small,low,unacc,unacc
low,high,5more,4,small,med,acc,acc
med,low,3,2,big,low,unacc,unacc
med,high,2,2,small,high,unacc,unacc
high,vhigh,5more,2,med,low,unacc,unacc
low,vhigh,5more,4,med,high,acc,acc
med,med,4,2,small,low,unacc,unacc
vhigh,low,4,2,big,high,unacc,unacc
med,med,5more,4,big,low,unacc,unacc
vhigh,med,5more,more,med,med,acc,acc
med,vhigh,4,2,med,high,unacc,unacc
low,med,5more,2,big,high,unacc,unacc
med,low,4,4,small,low,unacc,unacc
high,vhigh,5more,4,med,med,unacc,unacc
low,high,3,4,small,med,acc,acc
med,med,3,2,small,med,unacc,unacc
med,vhigh,3,more,med,med,acc,acc
low,high,2,more,small,med,unacc,unacc
low,vhigh,5more,2,med,high,unacc,unacc
high,high,4,4,big,med,acc,acc
med,med,3,2,med,low,unacc,unacc
vhigh,low,4,more,med,low,unacc,unacc
vhigh,low,2,more,big,med,acc,unacc
high,low,5more,2,small,high,unacc,unacc
med,med,5more,more,med,high,vgood,vgood
med,vhigh,5more,more,med,low,unacc,unacc
low,low,4,2,med,high,unacc,unacc
vhigh,vhigh,3,4,small,high,unacc,unacc
med,med,3,more,big,low,unacc,unacc
med,med,3,2,big,med,unacc,unacc
med,med,2,2,med,high,unacc,unacc
vhigh,high,2,2,big,med,unacc,unacc
low,vhigh,3,4,med,high,acc,acc
low,low,3,4,big,low,unacc,unacc
low,high,3,2,small,high,unacc,unacc
med,vhigh,2,more,big,med,acc,acc
high,vhigh,4,2,small,med,unacc,unacc
high,low,2,4,small,med,unacc,unacc
high,low,3,4,med,low,unacc,unacc
low,high,5more,2,med,med,unacc,unacc
med,med,2,more,small,high,unacc,unacc
high,vhigh,5more,more,med,low,unacc,unacc
high,med,5more,2,small,med,unacc,unacc
vhigh,high,4,2,big,med,unacc,unacc
vhigh,low,3,more,small,med,unacc,unacc
low,low,5more,4,small,med,acc,good
vhigh,low,5more,more,big,med,acc,acc
med,med,4,more,small,med,acc,acc
med,low,3,more,small,med,acc,good
med,high,2,more,small,high,unacc,unacc
low,med,2,4,big,high,vgood,acc
high,med,3,4,med,low,unacc,unacc
high,vhigh,4,2,med,low,unacc,unacc
high,vhigh,2,4,big,low,unacc,unacc
med,high,3,more,small,low,unacc,unacc
high,med,2,4,med,med,unacc,unacc
vhigh,high,3,2,med,low,unacc,unacc
vhigh,high,2,more,small,med,unacc,unacc
med,high,2,4,small,med,unacc,unacc
vhigh,low,2,4,small,high,acc,unacc
high,vhigh,4,4,big,low,unacc,unacc
med,low,5more,more,big,low,unacc,unacc
low,med,3,4,med,low,unacc,unacc
med,high,2,more,med,low,unacc,unacc
med,med,2,2,big,low,unacc,unacc
high,med,4,more,med,high,acc,unacc
high,high,4,4,small,low,unacc,unacc
low,med,4,4,big,low,unacc,unacc
low,vhigh,5more,2,small,low,unacc,unacc
vhigh,low,5more,2,med,high,unacc,unacc
vhigh,vhigh,5more,more,small,low,unacc,unacc
low,high,2,4,small,high,acc,unacc
vhigh,vhigh,5more,more,small,med,unacc,unacc
